animal,latin_name,order,sex,LociVS,diff_LociVS,mod_diff_LociVS,midpoint_lat,mass,dichro,sexual_dichro,gen_time,survival,age_first_breed,max_lifespan,mating_system_og,mating_system_binary,paternal_care,migration
Acrocephalus_concinens,Acrocephalus_concinens,Passeriformes,F,55.4977477,-5.78040931,5.78040931,40.19566852,130.6939593,0,21.89109338,2.183509191,0.571655683,0.907998763,8.520135542,NA,NA,1,1
Acrocephalus_dumetorum,Acrocephalus_dumetorum,Passeriformes,F,55.43706851,-7.06610033,7.06610033,59.28850233,260.5636193,0,9.697085394,2.2692832,0.528642885,1,9.929599906,2,0,1,2
Acrocephalus_dumetorum,Acrocephalus_dumetorum,Passeriformes,M,48.37096818,-7.06610033,7.06610033,59.28850233,260.5636193,0,9.697085394,2.2692832,0.528642885,1,9.929599906,2,0,1,2
Acrocephalus_gracilirostris,Acrocephalus_gracilirostris,Passeriformes,M,58.78775383,6.20650398,6.20650398,-16.32941431,464.7594264,0,16.79715414,3.514996074,0.717115667,1.27120303,10.94737251,0,0,1,0
Acrocephalus_gracilirostris,Acrocephalus_gracilirostris,Passeriformes,F,52.58124985,6.20650398,6.20650398,-16.32941431,464.7594264,0,16.79715414,3.514996074,0.717115667,1.27120303,10.94737251,0,0,1,0
Acrocephalus_griseldis,Acrocephalus_griseldis,Passeriformes,F,43.66410904,3.45615036,3.45615036,38.63097624,653.7455098,0,19.9997165,2.688434462,0.638,1.03900572,10,NA,NA,1,2
Acrocephalus_griseldis,Acrocephalus_griseldis,Passeriformes,M,47.1202594,3.45615036,3.45615036,38.63097624,653.7455098,0,19.9997165,2.688434462,0.638,1.03900572,10,NA,NA,1,2
Acrocephalus_melanopogon,Acrocephalus_melanopogon,Passeriformes,F,63.99991862,-5.51274194,5.51274194,48.29778962,244.7725932,0,26.46450312,2.255125736,0.54938017,1,9.83,0,0,1,1
Acrocephalus_melanopogon,Acrocephalus_melanopogon,Passeriformes,M,58.48717668,-5.51274194,5.51274194,48.29778962,244.7725932,0,26.46450312,2.255125736,0.54938017,1,9.83,0,0,1,1
Acrocephalus_newtoni,Acrocephalus_newtoni,Passeriformes,M,46.63609108,-0.79705587,0.79705587,-23.99657227,681.1038638,0,20.40145432,2.885618117,0.652088851,1.1522978,10.177173,NA,NA,1,0
Acrocephalus_newtoni,Acrocephalus_newtoni,Passeriformes,F,47.43314695,-0.79705587,0.79705587,-23.99657227,681.1038638,0,20.40145432,2.885618117,0.652088851,1.1522978,10.177173,NA,NA,1,0
Acrocephalus_paludicola,Acrocephalus_paludicola,Passeriformes,F,59.24042467,10.74052253,10.74052253,57.8677301,282.4913135,0,34.09882942,2.226320722,0.508358387,1,9.627352351,3,1,0,2
Acrocephalus_paludicola,Acrocephalus_paludicola,Passeriformes,M,69.9809472,10.74052253,10.74052253,57.8677301,282.4913135,0,34.09882942,2.226320722,0.508358387,1,9.627352351,3,1,0,2
Acrocephalus_palustris,Acrocephalus_palustris,Passeriformes,F,48.82933827,-0.30386188,0.30386188,56.77230218,276.915353,0,16.40377408,2.297947971,0.56,1,10.13126092,2,0,1,2
Acrocephalus_palustris,Acrocephalus_palustris,Passeriformes,M,48.52547639,-0.30386188,0.30386188,56.77230218,276.915353,0,16.40377408,2.297947971,0.56,1,10.13126092,2,0,1,2
Acrocephalus_rufescens,Acrocephalus_rufescens,Passeriformes,M,43.53715942,2.71260672,2.71260672,1.163910984,1328.145313,0,24.79572057,3.243017357,0.689963057,1.268211015,10.3174462,0,0,1,0
Acrocephalus_rufescens,Acrocephalus_rufescens,Passeriformes,F,40.8245527,2.71260672,2.71260672,1.163910984,1328.145313,0,24.79572057,3.243017357,0.689963057,1.268211015,10.3174462,0,0,1,0
Acrocephalus_schoenobaenus,Acrocephalus_schoenobaenus,Passeriformes,M,62.52348984,-0.72021224,0.72021224,59.08828646,295.5552499,0,32.92504531,2.292296221,0.486971879,1,10.0915,2,0,1,2
Acrocephalus_schoenobaenus,Acrocephalus_schoenobaenus,Passeriformes,F,63.24370208,-0.72021224,0.72021224,59.08828646,295.5552499,0,32.92504531,2.292296221,0.486971879,1,10.0915,2,0,1,2
Acrocephalus_scirpaceus,Acrocephalus_scirpaceus,Passeriformes,F,52.31855732,-3.04918155,3.04918155,51.82831528,323.295204,0,22.54401812,2.848356296,0.574333333,1.000574468,14,3,1,1,2
Acrocephalus_scirpaceus,Acrocephalus_scirpaceus,Passeriformes,M,49.26937577,-3.04918155,3.04918155,51.82831528,323.295204,0,22.54401812,2.848356296,0.574333333,1.000574468,14,3,1,1,2
Acrocephalus_sechellensis,Acrocephalus_sechellensis,Passeriformes,M,48.2487091,-7.10787215,7.10787215,-5.608460381,581.34044,0,12.42300926,6.715330161,0.893,1.276814713,17,0,0,1,0
Acrocephalus_sechellensis,Acrocephalus_sechellensis,Passeriformes,F,55.35658125,-7.10787215,7.10787215,-5.608460381,581.34044,0,12.42300926,6.715330161,0.893,1.276814713,17,0,0,1,0
Acrocephalus_stentoreus,Acrocephalus_stentoreus,Passeriformes,M,47.81176277,6.66574367,6.66574367,37.0817472,1535.863548,0,33.69041505,2.461103764,0.58152589,1.099833882,10.6,2,0,1,1
Acrocephalus_stentoreus,Acrocephalus_stentoreus,Passeriformes,F,41.1460191,6.66574367,6.66574367,37.0817472,1535.863548,0,33.69041505,2.461103764,0.58152589,1.099833882,10.6,2,0,1,1
Acrocephalus_syrinx,Acrocephalus_syrinx,Passeriformes,M,61.97848716,-14.44140554,14.44140554,8.462968191,997.0748986,0,15.78128902,3.278542502,0.732582854,1.121414642,9.400071051,NA,NA,1,0
Acrocephalus_syrinx,Acrocephalus_syrinx,Passeriformes,F,76.4198927,-14.44140554,14.44140554,8.462968191,997.0748986,0,15.78128902,3.278542502,0.732582854,1.121414642,9.400071051,NA,NA,1,0
Acrocephalus_taiti,Acrocephalus_taiti,Passeriformes,M,38,1,1,-30.10846038,,,13.34103104,4.593267246,0.875,1.163179813,10.19236886,0,0,1,0
Acrocephalus_taiti,Acrocephalus_taiti,Passeriformes,F,37,1,1,-30.10846038,,,13.34103104,4.593267246,0.875,1.163179813,10.19236886,0,0,1,0
Acrocephalus_tangorum,Acrocephalus_tangorum,Passeriformes,F,62.7015361,2.6094783,2.6094783,55.44645291,626.1399194,0,25.44895109,2.4392017,0.593195479,1.035259587,10.08254598,NA,NA,1,2
Acrocephalus_tangorum,Acrocephalus_tangorum,Passeriformes,M,65.3110144,2.6094783,2.6094783,55.44645291,626.1399194,0,25.44895109,2.4392017,0.593195479,1.035259587,10.08254598,NA,NA,1,2
Acrocephalus_vaughani,Acrocephalus_vaughani,Passeriformes,M,51,-2.34461567,2.34461567,-31.10846038,,,41.18388259,3.351175362,0.720617318,1.164287182,10.22017515,0,0,1,0
Acrocephalus_vaughani,Acrocephalus_vaughani,Passeriformes,F,53.34461567,-2.34461567,2.34461567,-31.10846038,,,41.18388259,3.351175362,0.720617318,1.164287182,10.22017515,0,0,1,0
Acropternis_orthonyx,Acropternis_orthonyx,Passeriformes,M,78.24707975,1.76178705,1.76178705,2.735576317,31495.81886,0,15.72185153,3.894235927,0.752209073,1.47422322,10.4108106,NA,NA,1,0
